 written on 23Jan2026 at 14:34:11 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           2
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    2    2   -0.14011050E-03 -0.80593601E-10

    5   -3    0
    1    1    0.20581439E-03  0.10172590E-09
    2    1   -0.40929556E-03  0.16957706E-09
    1    2   -0.15921735E-03  0.55726312E-10
    2    2    0.20577493E-03 -0.85425245E-10

    5   -2    0
    1    1    0.20581450E-03 -0.32665664E-11
    2    1   -0.82719539E-03 -0.10125681E-09
    1    2    0.10800795E-03 -0.72329115E-10
    2    2    0.20577490E-03 -0.33437940E-10

    5   -1    0
    1    1   -0.14012071E-03 -0.23099400E-10
    2    1   -0.40929595E-03 -0.85740609E-10
    1    2   -0.23292557E-04 -0.10445279E-09
    2    2   -0.14011065E-03 -0.79461324E-11

    5    0    0
    1    1    0.96841411E-03  0.59410489E-16
    2    1   -0.23179468E-03  0.64613835E-10
    1    2   -0.23179468E-03 -0.64613141E-10
    2    2    0.96846242E-03  0.53970456E-16

    6   -4    0
    1    1    0.19132805E-04  0.79620510E-10
    2    1    0.67204732E-03  0.16632282E-09
    1    2   -0.12706509E-03  0.47227833E-10
    2    2    0.19150986E-04 -0.50005089E-10

    6   -3    0
    1    1    0.74106183E-04  0.10195132E-09
    2    1   -0.12695562E-03 -0.67881173E-10
    1    2   -0.12706526E-03 -0.11913372E-09
    2    2    0.74128099E-04 -0.96277931E-10

   -6    3    0
    1    1    0.10475397E-04  0.14855352E-09 -0.18143579E-04 -0.15382587E-09 -0.21010575E-06 -0.34207902E-09
    2    1    0.13332192E-03  0.14117176E-09  0.23091935E-03 -0.14615924E-09  0.33912848E-07 -0.35418663E-10
    1    2   -0.58260650E-04 -0.25656205E-09 -0.42793267E-03 -0.92618940E-10 -0.10820016E-06 -0.17476152E-09
    2    2   -0.10476592E-04 -0.62819737E-10  0.18145756E-04  0.32430853E-10 -0.21041967E-06  0.44187204E-09

   -6    4    0
    1    1    0.17154613E-03  0.70999289E-10 -0.57365661E-10 -0.36731764E-10  0.25009595E-06 -0.64154118E-09
    2    1   -0.26664232E-03 -0.15417481E-09 -0.23431591E-09 -0.33887943E-09  0.34794038E-07 -0.16547110E-09
    1    2   -0.54623776E-03  0.11812653E-09  0.41388441E-09 -0.74994068E-09  0.21814668E-06  0.24480129E-09
    2    2   -0.17157057E-03 -0.13034027E-09  0.41992696E-10  0.83906570E-10  0.24978299E-06  0.49930629E-09

   -5    0    0
    1    1   -0.21216896E-03 -0.16733607E-17 -0.36748741E-03 -0.28983418E-17 -0.14280988E-06 -0.67789848E-21
    2    1   -0.33875720E-03 -0.29243494E-09  0.19319955E-03  0.14955857E-09  0.69386769E-07  0.23468414E-10
    1    2    0.33957304E-03 -0.21150632E-09 -0.19178648E-03  0.28973101E-09  0.69386769E-07 -0.23468395E-10
    2    2    0.21219029E-03  0.88640617E-16  0.36752436E-03  0.28985029E-17 -0.14253085E-06 -0.67730624E-21

   -5    1    0
    1    1    0.12670275E-04 -0.17901174E-09 -0.53267841E-05 -0.29116359E-09 -0.35050010E-06  0.58497730E-09
    2    1   -0.44451059E-04  0.74176930E-10 -0.76990523E-04  0.15351996E-09  0.26305937E-06 -0.21273111E-09
